sourceRow,website,translationStatus,compileStatus,exactSpace,entropyBits,reachableStates,countPayloadBytes,peakRssBytes,compileMicros
9,walmart.com,translated,SUCCESS,546108599233508259390625,78.85353405662467,13,2155,110592,1387.603
10,ebay.com,translated,SUCCESS,3792333218144715689214286733276153973356796205513695361373369020859784852595066624036316469616424830959697422432772648884390625,420.486025689834,65,1310852,6930432,86740.44499999999
14,netflix.com,translated,SUCCESS,46559903231494119157640432265266889890124185118452993594258718344515893556311773225022109647610743698525301953578650625,394.20660325651016,61,1023479,6524928,72358.04299999999
16,bestbuy.com,translated,SUCCESS,63338888410137831749584786497612425473931455286829288838964626341018402601578520474543032090984867937500000,354.7874696065245,55,672858,6443008,53657.69
17,quora.com,translated,SUCCESS,227060998360399857546231733396219046505259077831146960372169472330689693591152534474849740383708178771842637531310204314862896856713168164434700000,486.18458177314346,75,2305192,11091968,131546.87300000002
23,usatoday.com,translated,SUCCESS,216922155048713498504350916418738969077524590365430059700000,197.11093500658174,31,72568,110592,8247.707
24,vimeo.com,translated,SUCCESS,264832772544569013029574845774858196827828054038369395389613030856614309480860223910015734519560494266619201086234383221884119313255600000000,466.4750149481506,72,1955652,11141120,115924.227
25,apple.com,translated,SUCCESS,1901870957984869150459942501569779432166776028829488714075794720,210.20888934051086,23227,58449134,400158720,7272524.8100000005
28,webmd.com,translated,SUCCESS,209200553077795564392598035510286167558439957221015746093750,197.05864426409573,61,134924,110592,18313.278
31,usps.com,translated,SUCCESS,770579244003304887192131015463405816039837265337781224290602564101393272998193360235628582497923440,328.4948966256587,49401,460740141,2164862976,38453401.627
32,zillow.com,translated,SUCCESS,14230394612325434394416764217602394628383543532569431812001860381714981771638646225029443899372092605674931368558835483233666247392273772669077062863244328856968006536400961880818520645292571196573883809995720648962899108290270055221405345214250011611040,840.9567836752084,512,77370004,203587584,2707094.558
33,lowes.com,translated,SUCCESS,402130713187009132990560,78.41201071021744,7867,827330,32006144,354904.528
37,buzzfeed.com,translated,SUCCESS,216922155048713498504350916418738969077524590365422321890625,197.11093500658174,31,71872,110592,10609.465
39,wordpress.com,translated,SUCCESS,598351357374183426465820918966277833792831151602221831961903311927039329512387758629575019633200474225590371059986240972155566335759382453956543412850668250328099108658454710205254006258977009390625,657.000827589748,101,7461396,26112000,322879.672
47,legacy.com,translated,SUCCESS,3622996024341650240846169344914509390625,131.41237892327226,21,15505,110592,2863.207
49,ranker.com,translated,SUCCESS,777635388434868753304038937670673803594895131704996601793597364550835584153940138268343937946890625,328.5080471732007,51,505290,110592,45500.505
52,cnbc.com,translated,SUCCESS,36967246124613593730165567647200,104.86601851545416,64,20664,110592,6705.529
54,giphy.com,translated,SUCCESS,14230403961260236220506443581651184908680564041500367167417706820898712988823451461562368878931231194600886509223121419278253305282049735850746952255698801345684544325410185351468196806123506094389266334625827336505452737613188432117161202303898884390625,840.9567846230146,129,19662457,58220544,683661.96
58,fedex.com,translated,SUCCESS,1644194860060635440259129733258210695906314086869028898586813602514000,229.9304198358972,276,931238,8982528,102556.658
