adapter,caseId,scenario,finalState,committedGeneration,evidence,oldReconstructible,newReconstructible,invariantCommitRequiresEvidence,invariantUncertaintyKeepsBoth,persistentPasswordColumns
http_form,1,request_never_reached_server,UNKNOWN_OUTCOME,0,insufficient,True,True,True,True,0
http_form,2,remote_changed_response_lost,COMMITTED,1,sufficient_new_acceptance,False,True,True,True,0
http_form,3,response_timeout_without_probe,UNKNOWN_OUTCOME,0,insufficient,True,True,True,True,0
http_form,4,duplicate_request,COMMITTED,1,sufficient_new_acceptance,False,True,True,True,0
http_form,5,crash_before_submit,PREPARED,0,insufficient,True,True,True,True,0
http_form,6,crash_after_submit_before_local_outcome,UNKNOWN_OUTCOME,0,insufficient,True,True,True,True,0
http_form,7,crash_after_remote_commit_before_local_commit,COMMITTED,1,sufficient_new_acceptance,False,True,True,True,0
http_form,8,old_password_accepted,UNKNOWN_OUTCOME,0,insufficient,True,True,True,True,0
http_form,9,new_password_accepted,COMMITTED,1,sufficient_new_acceptance,False,True,True,True,0
http_form,10,both_passwords_accepted,COMMITTED,1,sufficient_new_acceptance,False,True,True,True,0
http_form,11,neither_password_accepted,UNKNOWN_OUTCOME,0,insufficient,True,True,True,True,0
http_form,12,policy_changed_during_rotation,UNKNOWN_OUTCOME,0,insufficient,True,True,True,True,0
http_form,13,old_probe_skipped_for_lockout_budget,COMMITTED,1,sufficient_new_acceptance,False,True,True,True,0
http_form,14,old_verification_unavailable,COMMITTED,1,sufficient_new_acceptance,False,True,True,True,0
http_form,15,no_authoritative_version_or_readback,COMMITTED,1,sufficient_new_acceptance,False,True,True,True,0
ldap_style_directory,1,request_never_reached_server,ABORTED,0,insufficient,True,False,True,True,0
ldap_style_directory,2,remote_changed_response_lost,COMMITTED,1,sufficient_remote_version,False,True,True,True,0
ldap_style_directory,3,response_timeout_without_probe,UNKNOWN_OUTCOME,0,insufficient,True,True,True,True,0
ldap_style_directory,4,duplicate_request,COMMITTED,1,sufficient_remote_version,False,True,True,True,0
ldap_style_directory,5,crash_before_submit,PREPARED,0,insufficient,True,True,True,True,0
ldap_style_directory,6,crash_after_submit_before_local_outcome,UNKNOWN_OUTCOME,0,insufficient,True,True,True,True,0
ldap_style_directory,7,crash_after_remote_commit_before_local_commit,COMMITTED,1,sufficient_remote_version,False,True,True,True,0
ldap_style_directory,8,old_password_accepted,ABORTED,0,insufficient,True,False,True,True,0
ldap_style_directory,9,new_password_accepted,COMMITTED,1,sufficient_remote_version,False,True,True,True,0
ldap_style_directory,10,both_passwords_accepted,COMMITTED,1,sufficient_remote_version,False,True,True,True,0
ldap_style_directory,11,neither_password_accepted,UNKNOWN_OUTCOME,0,insufficient,True,True,True,True,0
ldap_style_directory,12,policy_changed_during_rotation,UNKNOWN_OUTCOME,0,insufficient,True,True,True,True,0
ldap_style_directory,13,old_probe_skipped_for_lockout_budget,COMMITTED,1,sufficient_remote_version,False,True,True,True,0
ldap_style_directory,14,old_verification_unavailable,COMMITTED,1,sufficient_remote_version,False,True,True,True,0
ldap_style_directory,15,no_authoritative_version_or_readback,UNKNOWN_OUTCOME,0,insufficient,True,True,True,True,0
