name,iterations,total_ms,mean_us,median_us,p95_us,stddev_us,detail_json
shamir_split_2_of_3,10000,408.845389,40.884539,39.902000,47.368000,5.249583,"{}"
recover_recovery+computer,10000,720.874393,72.087439,66.856000,80.548000,13.249332,"{}"
recover_recovery+usb,10000,666.551686,66.655169,65.171000,65.685000,9.419962,"{}"
recover_computer+usb,10000,664.464893,66.446489,64.824000,66.368000,8.637332,"{}"
factor_storage_bytes,1,0.000000,0.000000,,,,"{""managedEnvelopeJcs"":474,""manifestJcs"":316,""recoveryPhraseUtf8"":738,""recoveryPhraseWords"":108,""usbEnvelopeJcs"":456}"
password_derivation_and_encoding,10000,212857.498982,21285.749898,21145.689000,22334.098000,729.356498,"{""characterCounts"":{""!"":3049,""#"":3120,""$"":3174,""%"":3106,""*"":3038,""+"":3111,""-"":3013,""2"":3270,""3"":3398,""4"":3425,""5"":3314,""6"":3351,""7"":3445,""8"":3274,""9"":3280,""="":3072,""@"":3123,""A"":2618,""B"":2458,""C"":2643,""D"":2487,""E"":2513,""F"":2520,""G"":2567,""H"":2493,""J"":2576,""K"":2361,""L"":2535,""M"":2488,""N"":2515,""P"":2616,""Q"":2469,""R"":2436,""S"":2562,""T"":2471,""U"":2518,""V"":2577,""W"":2536,""X"":2519,""Y"":2537,""Z"":2473,""_"":2958,""a"":2570,""b"":2490,""c"":2512,""d"":2421,""e"":2526,""f"":2402,""g"":2490,""h"":2504,""i"":2389,""j"":2493,""k"":2416,""m"":2565,""n"":2540,""o"":2432,""p"":2537,""q"":2385,""r"":2453,""s"":2439,""t"":2438,""u"":2510,""v"":2500,""w"":2543,""x"":2435,""y"":2546,""z"":2455},""passwordSpaceUpperBoundLog2"":109.1896054282399,""positionObservationCount"":[10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000]}"
cdr_scale_100,100,4.324329,43.243290,,,,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":233472,""loadMs"":1.170502,""loadedRecords"":100,""queryUs"":275.144,""writeMs"":3.153827}"
cdr_scale_1000,1000,35.335929,35.335929,,,,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":2146304,""loadMs"":10.091576,""loadedRecords"":1000,""queryUs"":282.29600000000005,""writeMs"":25.244353}"
cdr_scale_10000,10000,243.652263,24.365226,,,,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":21323776,""loadMs"":71.80047,""loadedRecords"":10000,""queryUs"":273.14,""writeMs"":171.85179300000001}"
cdr_scale_100000,100000,3013.469880,30.134699,,,,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":213463040,""loadMs"":709.229329,""loadedRecords"":100000,""queryUs"":321.194,""writeMs"":2304.240551}"
unknown_outcome_reconciliation,4000,401.526424,100.381606,96.255000,110.555000,11.557681,"{""outcomes"":[""new_only"",""old_only"",""both"",""neither""],""successfulStateExecutions"":4000}"
persistent_freshness_compare_and_set,10000,7038.991095,703.899110,661.809000,915.850000,583.601417,"{""persistedAfterRestart"":true}"
