name,iterations,total_ms,mean_us,median_us,p95_us,stddev_us,detail_json
shamir_split_2_of_3,10000,489.310257,48.931026,48.091000,50.769000,8.371383,"{}"
recover_recovery+computer,10000,802.435312,80.243531,78.775000,86.145000,7.422234,"{}"
recover_recovery+usb,10000,819.017934,81.901793,78.029000,84.690000,86.998764,"{}"
recover_computer+usb,10000,812.342357,81.234236,76.989000,83.357000,98.378438,"{}"
factor_storage_bytes,1,0.000000,0.000000,,,,"{""managedEnvelopeJcs"":474,""manifestJcs"":316,""recoveryPhraseUtf8"":723,""recoveryPhraseWords"":108,""usbEnvelopeJcs"":456}"
password_derivation_and_encoding,10000,365060.268459,36506.026846,36497.304000,46097.073000,6577.380037,"{""characterCounts"":{""!"":3049,""#"":3120,""$"":3174,""%"":3106,""*"":3038,""+"":3111,""-"":3013,""2"":3270,""3"":3398,""4"":3425,""5"":3314,""6"":3351,""7"":3445,""8"":3274,""9"":3280,""="":3072,""@"":3123,""A"":2618,""B"":2458,""C"":2643,""D"":2487,""E"":2513,""F"":2520,""G"":2567,""H"":2493,""J"":2576,""K"":2361,""L"":2535,""M"":2488,""N"":2515,""P"":2616,""Q"":2469,""R"":2436,""S"":2562,""T"":2471,""U"":2518,""V"":2577,""W"":2536,""X"":2519,""Y"":2537,""Z"":2473,""_"":2958,""a"":2570,""b"":2490,""c"":2512,""d"":2421,""e"":2526,""f"":2402,""g"":2490,""h"":2504,""i"":2389,""j"":2493,""k"":2416,""m"":2565,""n"":2540,""o"":2432,""p"":2537,""q"":2385,""r"":2453,""s"":2439,""t"":2438,""u"":2510,""v"":2500,""w"":2543,""x"":2435,""y"":2546,""z"":2455},""passwordSpaceUpperBoundLog2"":109.1896054282399,""positionObservationCount"":[10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000]}"
cdr_scale_100,100,7.039603,70.396030,,,,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":233472,""loadMs"":2.054084,""loadedRecords"":100,""queryUs"":393.98900000000003,""writeMs"":4.985519}"
cdr_scale_1000,1000,48.174625,48.174625,,,,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":2146304,""loadMs"":13.571558,""loadedRecords"":1000,""queryUs"":427.487,""writeMs"":34.603067}"
cdr_scale_10000,10000,412.832906,41.283291,,,,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":21336064,""loadMs"":117.837503,""loadedRecords"":10000,""queryUs"":431.072,""writeMs"":294.995403}"
cdr_scale_100000,100000,5503.533545,55.035335,,,,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":213401600,""loadMs"":1327.721717,""loadedRecords"":100000,""queryUs"":501.741,""writeMs"":4175.811828}"
unknown_outcome_reconciliation,4000,792.069012,198.017253,186.607000,229.895000,22.929666,"{""outcomes"":[""new_only"",""old_only"",""both"",""neither""],""successfulStateExecutions"":4000}"
persistent_freshness_compare_and_set,10000,14016.364601,1401.636460,1352.011000,1663.572000,652.925906,"{""persistedAfterRestart"":true}"
