name,iterations,total_ms,mean_us,median_us,p95_us,stddev_us,detail_json
shamir_split_2_of_3,1000,49.186933,49.186933,50.966000,52.385000,4.930254,"{}"
recover_recovery+computer,1000,74.327890,74.327890,65.363000,116.898000,18.408065,"{}"
recover_recovery+usb,1000,66.618535,66.618535,65.093000,65.887000,9.090465,"{}"
recover_computer+usb,1000,70.349793,70.349793,64.982000,103.664000,16.366439,"{}"
factor_storage_bytes,1,0.000000,0.000000,,,,"{""managedEnvelopeJcs"":474,""manifestJcs"":316,""recoveryPhraseUtf8"":745,""recoveryPhraseWords"":108,""usbEnvelopeJcs"":456}"
password_derivation_and_encoding,1000,20759.745714,20759.745714,20576.088000,21873.540000,742.632995,"{""characterCounts"":{""!"":345,""#"":308,""$"":318,""%"":301,""*"":303,""+"":311,""-"":311,""2"":331,""3"":365,""4"":353,""5"":297,""6"":335,""7"":358,""8"":330,""9"":335,""="":307,""@"":299,""A"":274,""B"":296,""C"":233,""D"":258,""E"":285,""F"":241,""G"":251,""H"":244,""J"":248,""K"":239,""L"":249,""M"":254,""N"":236,""P"":236,""Q"":237,""R"":257,""S"":241,""T"":244,""U"":222,""V"":271,""W"":267,""X"":255,""Y"":258,""Z"":254,""_"":286,""a"":224,""b"":253,""c"":248,""d"":255,""e"":262,""f"":258,""g"":243,""h"":264,""i"":267,""j"":242,""k"":245,""m"":240,""n"":233,""o"":251,""p"":242,""q"":247,""r"":254,""s"":241,""t"":231,""u"":246,""v"":213,""w"":250,""x"":238,""y"":235,""z"":275},""passwordSpaceUpperBoundLog2"":109.1896054282399,""positionObservationCount"":[1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000]}"
cdr_scale_100,100,4.016501,40.165010,,,,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":233472,""loadMs"":0.940047,""loadedRecords"":100,""queryUs"":198.102,""writeMs"":3.076454}"
cdr_scale_1000,1000,30.613234,30.613234,,,,"{""conflictDetection"":""concurrent_modification"",""databaseBytes"":2146304,""loadMs"":8.449659,""loadedRecords"":1000,""queryUs"":248.953,""writeMs"":22.163575}"
unknown_outcome_reconciliation,4000,402.897658,100.724414,96.800000,98.581000,11.494456,"{""outcomes"":[""new_only"",""old_only"",""both"",""neither""],""successfulStateExecutions"":4000}"
persistent_freshness_compare_and_set,1000,692.436556,692.436556,660.539000,893.475000,120.930069,"{""persistedAfterRestart"":true}"
